TEAM,CONF,YEAR,G,W,WIN_RATE,WAB,MADE_TOURNAMENT,SEED,POSTSEASON,Predicted_Tournament_Probability,Predicted_Made_Tournament,Prediction,Actual,Correct
Saint Louis,A10,2019,36,23,0.6389,-3.2,1,13.0,R64,0.1474,0,Miss March Madness,Made March Madness,False
Southern Miss,CUSA,2019,29,20,0.6897,-5.7,0,,,0.1361,0,Miss March Madness,Missed March Madness,True
Kent St.,MAC,2019,31,22,0.7097,-2.7,0,,,0.1262,0,Miss March Madness,Missed March Madness,True
San Francisco,WCC,2019,30,21,0.7,-2.7,0,,,0.1237,0,Miss March Madness,Missed March Madness,True
Marshall,CUSA,2019,37,23,0.6216,-6.4,0,,,0.1226,0,Miss March Madness,Missed March Madness,True
Drake,MVC,2019,32,24,0.75,-2.9,0,,,0.1212,0,Miss March Madness,Missed March Madness,True
Harvard,Ivy,2019,30,19,0.6333,-3.6,0,,,0.1187,0,Miss March Madness,Missed March Madness,True
UT Rio Grande Valley,WAC,2019,35,20,0.5714,-8.2,0,,,0.1181,0,Miss March Madness,Missed March Madness,True
BYU,WCC,2019,32,19,0.5938,-3.1,0,,,0.117,0,Miss March Madness,Missed March Madness,True
Lehigh,Pat,2019,31,20,0.6452,-5.5,0,,,0.1167,0,Miss March Madness,Missed March Madness,True
Memphis,Amer,2019,36,22,0.6111,-1.4,0,,,0.1152,0,Miss March Madness,Missed March Madness,True
Norfolk St.,MEAC,2019,33,22,0.6667,-9.0,0,,,0.1133,0,Miss March Madness,Missed March Madness,True
Brown,Ivy,2019,30,20,0.6667,-5.7,0,,,0.1106,0,Miss March Madness,Missed March Madness,True
Louisiana Tech,CUSA,2019,31,20,0.6452,-7.0,0,,,0.1092,0,Miss March Madness,Missed March Madness,True
Wright St.,Horz,2019,33,21,0.6364,-6.6,0,,,0.1086,0,Miss March Madness,Missed March Madness,True
Texas Southern,SWAC,2019,36,24,0.6667,-6.6,0,,,0.1075,0,Miss March Madness,Missed March Madness,True
Iona,MAAC,2019,33,17,0.5152,-10.4,1,16.0,R64,0.106,0,Miss March Madness,Made March Madness,False
Grand Canyon,WAC,2019,33,20,0.6061,-5.6,0,,,0.1045,0,Miss March Madness,Missed March Madness,True
Lamar,Slnd,2019,29,20,0.6897,-9.0,0,,,0.1022,0,Miss March Madness,Missed March Madness,True
Colorado,P12,2019,36,23,0.6389,-3.6,0,,,0.1021,0,Miss March Madness,Missed March Madness,True
Wichita St.,Amer,2019,37,22,0.5946,-2.9,0,,,0.1,0,Miss March Madness,Missed March Madness,True
Creighton,BE,2019,34,20,0.5882,-2.3,0,,,0.0985,0,Miss March Madness,Missed March Madness,True
Campbell,BSth,2019,30,20,0.6667,-7.4,0,,,0.0971,0,Miss March Madness,Missed March Madness,True
UAB,CUSA,2019,33,20,0.6061,-7.4,0,,,0.0961,0,Miss March Madness,Missed March Madness,True
Bradley,MVC,2019,34,20,0.5882,-7.9,1,15.0,R64,0.0949,0,Miss March Madness,Made March Madness,False
Sam Houston St.,Slnd,2019,30,21,0.7,-6.7,0,,,0.0942,0,Miss March Madness,Missed March Madness,True
Green Bay,Horz,2019,36,21,0.5833,-8.4,0,,,0.0938,0,Miss March Madness,Missed March Madness,True
Northern Colorado,BSky,2019,30,21,0.7,-6.7,0,,,0.0924,0,Miss March Madness,Missed March Madness,True
Duquesne,A10,2019,32,19,0.5938,-6.7,0,,,0.0867,0,Miss March Madness,Missed March Madness,True
UMBC,AE,2019,31,21,0.6774,-8.1,0,,,0.0862,0,Miss March Madness,Missed March Madness,True
New Orleans,Slnd,2019,29,19,0.6552,-8.7,0,,,0.0835,0,Miss March Madness,Missed March Madness,True
Saint Joseph's,A10,2019,33,14,0.4242,-10.5,0,,,0.0832,0,Miss March Madness,Missed March Madness,True
FIU,CUSA,2019,30,20,0.6667,-7.9,0,,,0.0824,0,Miss March Madness,Missed March Madness,True
Alabama,SEC,2019,34,18,0.5294,-0.2,0,,,0.0781,0,Miss March Madness,Missed March Madness,True
Loyola Chicago,MVC,2019,33,20,0.6061,-7.2,0,,,0.072,0,Miss March Madness,Missed March Madness,True
Louisiana Lafayette,SB,2019,30,19,0.6333,-6.5,0,,,0.072,0,Miss March Madness,Missed March Madness,True
San Diego St.,MWC,2019,33,21,0.6364,-4.2,0,,,0.0699,0,Miss March Madness,Missed March Madness,True
Hartford,AE,2019,32,18,0.5625,-9.2,0,,,0.0681,0,Miss March Madness,Missed March Madness,True
North Carolina A&T,MEAC,2019,30,19,0.6333,-8.4,0,,,0.0675,0,Miss March Madness,Missed March Madness,True
North Texas,CUSA,2019,30,21,0.7,-7.1,0,,,0.0675,0,Miss March Madness,Missed March Madness,True
Weber St.,BSky,2019,31,18,0.5806,-10.7,0,,,0.0671,0,Miss March Madness,Missed March Madness,True
Hampton,BSth,2019,32,18,0.5625,-11.4,0,,,0.0668,0,Miss March Madness,Missed March Madness,True
Howard,MEAC,2019,31,17,0.5484,-12.8,0,,,0.0663,0,Miss March Madness,Missed March Madness,True
Delaware,CAA,2019,31,17,0.5484,-11.1,0,,,0.0659,0,Miss March Madness,Missed March Madness,True
South Dakota St.,Sum,2019,32,24,0.75,-3.4,0,,,0.0637,0,Miss March Madness,Missed March Madness,True
Penn,Ivy,2019,30,19,0.6333,-5.1,0,,,0.063,0,Miss March Madness,Missed March Madness,True
Georgia Southern,SB,2019,31,21,0.6774,-4.9,0,,,0.0624,0,Miss March Madness,Missed March Madness,True
Dayton,A10,2019,33,21,0.6364,-2.3,0,,,0.0551,0,Miss March Madness,Missed March Madness,True
Western Kentucky,CUSA,2019,34,20,0.5882,-5.5,0,,,0.0541,0,Miss March Madness,Missed March Madness,True
Xavier,BE,2019,35,19,0.5429,-2.9,0,,,0.0534,0,Miss March Madness,Missed March Madness,True
St. Francis PA,NEC,2019,31,18,0.5806,-9.0,0,,,0.0512,0,Miss March Madness,Missed March Madness,True
Seattle,WAC,2019,31,18,0.5806,-8.9,0,,,0.0509,0,Miss March Madness,Missed March Madness,True
Fort Wayne,Sum,2019,30,18,0.6,-9.5,0,,,0.0507,0,Miss March Madness,Missed March Madness,True
San Diego,WCC,2019,35,21,0.6,-3.7,0,,,0.049,0,Miss March Madness,Missed March Madness,True
St. Francis NY,NEC,2019,31,17,0.5484,-11.7,0,,,0.0483,0,Miss March Madness,Missed March Madness,True
Hawaii,BW,2019,29,18,0.6207,-8.6,0,,,0.0438,0,Miss March Madness,Missed March Madness,True
Georgetown,BE,2019,33,19,0.5758,-2.5,0,,,0.0422,0,Miss March Madness,Missed March Madness,True
Grambling St.,SWAC,2019,31,17,0.5484,-11.5,0,,,0.0419,0,Miss March Madness,Missed March Madness,True
Tulsa,Amer,2019,32,18,0.5625,-3.5,0,,,0.0412,0,Miss March Madness,Missed March Madness,True
Notre Dame,ACC,2019,33,14,0.4242,-5.7,0,,,0.0386,0,Miss March Madness,Missed March Madness,True
